"","coil_fatness","face_height","degree_of_coiling"
"t1",0.992750640796772,0.292228806814207,10.0692205168566
"t2",0.993363665974406,0.311776340544133,10.7671593613817
"t3",0.990260186515905,0.16072610523349,9.82569685281863
"t4",0.99055340415702,0.33340768233168,12.2703382704818
"t5",0.990402764502505,0.26791988292972,11.8097232074695
"t6",0.992580510062933,0.434008422946854,11.2009462152967
"t7",0.991182061673083,0.247414343876404,11.6670086249014
"t8",0.988780122156363,0.35573552654107,10.5896758287502
"t9",0.988365692625413,0.377952526635408,11.6998143305438
"t10",0.995245256475531,0.37118393602753,11.3661957741721
"t11",0.991379964232871,0.380691613141958,11.3543924757983
"t12",0.988507006579395,0.335057228899109,9.16764104719229
"t13",0.988363192861393,0.210893791889331,9.46253921809661
"t14",0.989778637137506,0.299282447482696,12.7249453233809
"t15",0.98747568964025,0.282933722632088,12.065916888451
"t16",0.991286767532503,0.387193142022567,12.9300699418579
"t17",0.995261988299976,0.327301968513773,11.4071639100521
"t18",0.98944952635054,0.400194937806287,11.8609545522803
"t19",0.991520973495975,0.371330716400677,11.435226704421
"t20",0.988817654510448,0.199801691290873,10.6337055691846
"t21",0.987499868075631,0.426875228151133,11.4789880309319
"t22",0.988984925046279,0.315147138108647,12.4612870784898
"t23",0.988960224034899,0.377826074125432,10.2967212145581
"t24",0.993654459541131,0.405514315202786,13.0490372209156
"t25",0.98874761618694,0.306900717519845,12.2708566985471
"t26",0.992132085400624,0.427522608008645,11.2353765342079
"t27",0.992576519726732,0.362358328630223,11.0186834051313
"t28",0.991548889270534,0.339849620515986,13.1266129694162
"t29",0.993125648407408,0.331379226549387,10.6306098520898
"t30",0.99032642570061,0.216985709907476,10.3565875742148
"t31",0.989787707971067,0.36217279850046,10.9036670868496
"t32",0.988281230776071,0.220984892089561,9.47885398418083
